create,week,delete
Lions-vs-Bears,12,Lions-vs-Bears
Cowboys-vs-Eagles,12,Cowboys-vs-Eagles
Seahawks-vs-Cardinals,12,Seahawks-vs-Cardinals
Eagles-vs-49ers,13,Eagles-vs-49ers
Cowboys-vs-Dolphins,13,Cowboys-vs-Dolphins
Jaguars-vs-Browns,13,Jaguars-vs-Browns
Falcons-vs-Panthers,13,Falcons-vs-Panthers
Packers-vs-Lions,13,Packers-vs-Lions
Bills-vs-Colts,13,Bills-vs-Colts
Titans-vs-Steelers,13,Titans-vs-Steelers
Rams-vs-Texans,13,Rams-vs-Texans
Buccaneers-vs-Cardinals,13,Buccaneers-vs-Cardinals
Giants-vs-Seahawks,13,Giants-vs-Seahawks
Saints-vs-Patriots,13,Saints-vs-Patriots
Bears-vs-Ravens,13,Bears-vs-Ravens
Chiefs-vs-Chargers,13,Chiefs-vs-Chargers
Raiders-vs-Jets,13,Raiders-vs-Jets
Eagles-vs-Football Team,14,Eagles-vs-Football Team
Panthers-vs-Saints,14,Panthers-vs-Saints
Steelers-vs-Patriots,14,Steelers-vs-Patriots
Texans-vs-Jaguars,14,Texans-vs-Jaguars
Packers-vs-Vikings,14,Packers-vs-Vikings
Titans-vs-Buccaneers,14,Titans-vs-Buccaneers
Bills-vs-Giants,14,Bills-vs-Giants
Chargers-vs-Raiders,14,Chargers-vs-Raiders
Seahawks-vs-Browns,14,Seahawks-vs-Browns
Broncos-vs-Chiefs,14,Broncos-vs-Chiefs
Rams-vs-49ers,14,Rams-vs-49ers
Bengals-vs-Dolphins,14,Bengals-vs-Dolphins
Jets-vs-Cowboys,14,Jets-vs-Cowboys
Lions-vs-Falcons,14,Lions-vs-Falcons
Vikings-vs-Giants,15,Vikings-vs-Giants
Browns-vs-Titans,15,Browns-vs-Titans
Bengals-vs-Cardinals,15,Bengals-vs-Cardinals
Dolphins-vs-Eagles,15,Dolphins-vs-Eagles
Jaguars-vs-Ravens,15,Jaguars-vs-Ravens
Buccaneers-vs-Colts,15,Buccaneers-vs-Colts
Texans-vs-Panthers,15,Texans-vs-Panthers
Cowboys-vs-Seahawks,15,Cowboys-vs-Seahawks
Chargers-vs-Patriots,15,Chargers-vs-Patriots
Rams-vs-Packers,15,Rams-vs-Packers
Raiders-vs-Bills,15,Raiders-vs-Bills
Bears-vs-Lions,15,Bears-vs-Lions
Jets-vs-Broncos,15,Jets-vs-Broncos
Football Team-vs-Chiefs,15,Football Team-vs-Chiefs
Falcons-vs-Saints,15,Falcons-vs-Saints
49ers-vs-Steelers,15,49ers-vs-Steelers
Saints-vs-Texans,16,Saints-vs-Texans
Chiefs-vs-Broncos,16,Chiefs-vs-Broncos
Titans-vs-Jaguars,16,Titans-vs-Jaguars
Lions-vs-Vikings,16,Lions-vs-Vikings
Browns-vs-Ravens,16,Browns-vs-Ravens
Panthers-vs-Buccaneers,16,Panthers-vs-Buccaneers
Jets-vs-Patriots,16,Jets-vs-Patriots
Eagles-vs-Giants,16,Eagles-vs-Giants
Bills-vs-Cowboys,16,Bills-vs-Cowboys
Bears-vs-Raiders,16,Bears-vs-Raiders
Seahawks-vs-Colts,16,Seahawks-vs-Colts
Cardinals-vs-Rams,16,Cardinals-vs-Rams
Steelers-vs-Bengals,16,Steelers-vs-Bengals
Falcons-vs-Dolphins,16,Falcons-vs-Dolphins
Football Team-vs-49ers,16,Football Team-vs-49ers
Packers-vs-Chargers,16,Packers-vs-Chargers
Eagles-vs-Bills,17,Eagles-vs-Bills
Giants-vs-Football Team,17,Giants-vs-Football Team
Falcons-vs-Vikings,17,Falcons-vs-Vikings
Cowboys-vs-Cardinals,17,Cowboys-vs-Cardinals
Panthers-vs-Jaguars,17,Panthers-vs-Jaguars
Colts-vs-Texans,17,Colts-vs-Texans
Browns-vs-Steelers,17,Browns-vs-Steelers
Ravens-vs-Titans,17,Ravens-vs-Titans
Rams-vs-Seahawks,17,Rams-vs-Seahawks
49ers-vs-Bengals,17,49ers-vs-Bengals
Broncos-vs-Lions,17,Broncos-vs-Lions
Chargers-vs-Bears,17,Chargers-vs-Bears
Raiders-vs-Packers,17,Raiders-vs-Packers
Chiefs-vs-Jets,17,Chiefs-vs-Jets
Dolphins-vs-Patriots,17,Dolphins-vs-Patriots
Buccaneers-vs-Saints,17,Buccaneers-vs-Saints
Giants-vs-Cowboys,18,Giants-vs-Cowboys
Bears-vs-Saints,18,Bears-vs-Saints
Patriots-vs-Chiefs,18,Patriots-vs-Chiefs
Dolphins-vs-Jets,18,Dolphins-vs-Jets
Bills-vs-Broncos,18,Bills-vs-Broncos
Colts-vs-Ravens,18,Colts-vs-Ravens
Vikings-vs-Packers,18,Vikings-vs-Packers
Titans-vs-Bengals,18,Titans-vs-Bengals
Eagles-vs-Panthers,18,Eagles-vs-Panthers
Cardinals-vs-Jaguars,18,Cardinals-vs-Jaguars
Texans-vs-Steelers,18,Texans-vs-Steelers
49ers-vs-Rams,18,49ers-vs-Rams
Seahawks-vs-Football Team,18,Seahawks-vs-Football Team
Raiders-vs-Browns,18,Raiders-vs-Browns
Chargers-vs-Lions,18,Chargers-vs-Lions
Falcons-vs-Buccaneers,18,Falcons-vs-Buccaneers
